w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,3.1308,30.1251,33.2559,best_f2_50.10.3,Source 2
0.1,0.9,3.1308,30.125,33.2559,best_f2_50.10.3,Source 2
0.2,0.8,3.0781,29.9122,32.9902,best_f2_50.10.3,Source 2
0.3,0.7,2.2265,32.0011,34.2276,best_f2_50.10.4,Source 2
0.4,0.6,2.1684,31.5648,33.7332,best_f2_50.10.3,Source 2
0.5,0.5,2.3577,30.2903,32.648,best_sum_50.10.3,Source 2
0.6,0.4,2.4532,31.0263,33.4794,best_sum_50.10.3,Source 2
0.7,0.3,2.14,32.2838,34.4238,last_checkpoint,Source 2
0.8,0.2,2.104,30.6284,32.7324,last_checkpoint,Source 2
0.9,0.1,2.4073,33.4239,35.8312,milestone_50.10.3,Source 2
1.0,0.0,2.4101,32.8495,35.2596,best_f1_50.10.2,Source 2
