w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,3.6448,18.6221,22.2669,best_f1_50.10.2,Source 1
0.1,0.9,3.6448,18.6221,22.2669,best_f1_50.10.2,Source 1
0.2,0.8,3.3633,18.1371,21.5005,best_f1_50.10.2,Source 1
0.3,0.7,3.3633,18.1371,21.5005,best_f1_50.10.2,Source 1
0.4,0.6,3.3633,18.1371,21.5005,best_f1_50.10.2,Source 1
0.5,0.5,3.3633,18.1371,21.5005,best_f1_50.10.2,Source 1
0.6,0.4,3.3633,18.1371,21.5005,best_f1_50.10.2,Source 1
0.7,0.3,3.3633,18.1371,21.5005,best_f1_50.10.2,Source 1
0.8,0.2,3.3633,18.1371,21.5005,best_f1_50.10.2,Source 1
0.9,0.1,3.3633,18.1371,21.5005,best_f1_50.10.2,Source 1
1.0,0.0,3.3633,18.1371,21.5005,best_f1_50.10.2,Source 1
