w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,3.46,26.2152,29.6752,best_f1_20.20.2,Source 2
0.1,0.9,3.4379,27.2074,30.6453,best_f2_20.20.3,Source 2
0.2,0.8,3.4379,27.2074,30.6453,best_f2_20.20.3,Source 2
0.3,0.7,3.4883,27.673,31.1612,best_f2_20.20.3,Source 2
0.4,0.6,3.6061,28.041,31.6472,best_f1_20.10.3,Source 2
0.5,0.5,3.6061,28.041,31.6472,best_f1_20.10.3,Source 2
0.6,0.4,3.6061,28.041,31.6472,best_f1_20.10.3,Source 2
0.7,0.3,3.4713,28.3386,31.8099,milestone_20.20.3,Source 2
0.8,0.2,3.5061,28.1033,31.6093,best_sum_50.10.1,Source 2
0.9,0.1,3.0373,25.9528,28.9901,best_f2_50.10.3,Source 2
1.0,0.0,3.3768,27.5665,30.9433,best_f2_50.10.2,Source 2
