w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,2.4099,38.1474,40.5573,best_f2_50.10.4,Source 2
0.1,0.9,2.4095,40.3545,42.764,milestone_50.10.3,Source 2
0.2,0.8,2.4544,41.5346,43.989,milestone_20.20.3,Source 2
0.3,0.7,2.185,40.0603,42.2453,best_f2_50.10.2,Source 2
0.4,0.6,2.4028,40.6223,43.025,best_f2_50.10.2,Source 2
0.5,0.5,2.2,40.8825,43.0825,milestone_50.10.3,Source 2
0.6,0.4,2.7803,38.1259,40.9063,best_mean_50.10.2,Source 1
0.7,0.3,2.7803,38.1259,40.9063,best_mean_50.10.2,Source 1
0.8,0.2,2.4228,38.0911,40.514,best_f2_50.10.4,Source 2
0.9,0.1,2.9008,39.7954,42.6963,best_mean_50.10.1,Source 1
1.0,0.0,2.3082,37.17,39.4783,best_f1_50.10.4,Source 2
