w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,1.9227,19.3796,21.3023,best_f1_20.20.3,Source 2
0.1,0.9,1.5135,18.8608,20.3743,best_f1_20.20.3,Source 2
0.2,0.8,1.6115,17.247,18.8585,best_mean_50.10.2,Source 2
0.3,0.7,1.7811,18.0377,19.8188,best_mean_50.10.2,Source 2
0.4,0.6,1.7811,17.1966,18.9777,best_mean_50.10.2,Source 2
0.5,0.5,1.7811,17.2283,19.0094,best_mean_50.10.2,Source 2
0.6,0.4,1.7811,16.8123,18.5934,best_mean_50.10.2,Source 2
0.7,0.3,1.7811,16.8131,18.5942,best_mean_50.10.2,Source 2
0.8,0.2,1.7811,17.052,18.8331,best_mean_50.10.2,Source 2
0.9,0.1,1.7811,17.052,18.8331,best_mean_50.10.2,Source 2
1.0,0.0,1.7811,17.052,18.8331,best_mean_50.10.2,Source 2
