w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,8675.64,137330.64,146006.28,best_f2_50.10.4,Source 2
0.1,0.9,8674.2,145276.2,153950.4,milestone_50.10.3,Source 2
0.2,0.8,8835.84,149524.56,158360.4,milestone_20.20.3,Source 2
0.3,0.7,7866.0,144217.08,152083.08,best_f2_50.10.2,Source 2
0.4,0.6,8650.08,146240.28,154890.0,best_f2_50.10.2,Source 2
0.5,0.5,7920.0,147177.0,155097.0,milestone_50.10.3,Source 2
0.6,0.4,10009.08,137253.24,147262.68,best_mean_50.10.2,Source 1
0.7,0.3,10009.08,137253.24,147262.68,best_mean_50.10.2,Source 1
0.8,0.2,8722.08,137127.96,145850.4,best_f2_50.10.4,Source 2
0.9,0.1,10442.88,143263.44,153706.68,best_mean_50.10.1,Source 1
1.0,0.0,8309.52,133812.0,142121.88,best_f1_50.10.4,Source 2
