w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,12320.28,84644.28,96964.56,best_f2_50.10.2,Source 2
0.1,0.9,6791.4,78428.52,85220.28,best_f2_50.10.2,Source 2
0.2,0.8,6791.04,71983.08,78774.12,best_mean_50.10.2,Source 2
0.3,0.7,6856.2,78375.24,85231.44,best_sum_50.10.4,Source 2
0.4,0.6,7441.56,77836.32,85277.88,best_f2_50.10.4,Source 2
0.5,0.5,7506.36,85530.96,93037.32,last_checkpoint,Source 2
0.6,0.4,8013.96,84817.8,92831.76,best_sum_50.10.3,Source 2
0.7,0.3,7441.56,80833.32,88274.88,best_f2_50.10.4,Source 2
0.8,0.2,8151.12,86148.0,94299.12,best_f1_50.10.4,Source 1
0.9,0.1,7425.72,77484.6,84910.32,best_mean_50.10.2,Source 2
1.0,0.0,7425.72,77484.6,84910.32,best_mean_50.10.2,Source 2
