w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,11270.88,108450.36,119721.24,best_f2_50.10.3,Source 2
0.1,0.9,11270.88,108450.0,119721.24,best_f2_50.10.3,Source 2
0.2,0.8,11081.16,107683.92,118764.72,best_f2_50.10.3,Source 2
0.3,0.7,8015.4,115203.96,123219.36,best_f2_50.10.4,Source 2
0.4,0.6,7806.24,113633.28,121439.52,best_f2_50.10.3,Source 2
0.5,0.5,8487.72,109045.08,117532.8,best_sum_50.10.3,Source 2
0.6,0.4,8831.52,111694.68,120525.84,best_sum_50.10.3,Source 2
0.7,0.3,7704.0,116221.68,123925.68,last_checkpoint,Source 2
0.8,0.2,7574.4,110262.24,117836.64,last_checkpoint,Source 2
0.9,0.1,8666.28,120326.04,128992.32,milestone_50.10.3,Source 2
1.0,0.0,8676.36,118258.2,126934.56,best_f1_50.10.2,Source 2
