w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,0.95,5.0959,6.0459,best_f1_20.10.1,Source 1
0.1,0.9,0.95,5.0959,6.0459,best_f1_20.10.1,Source 1
0.2,0.8,0.95,5.0959,6.0459,best_f1_20.10.1,Source 1
0.3,0.7,0.9795,5.0674,6.0469,best_sum_50.10.4,Source 2
0.4,0.6,0.9795,5.0674,6.0469,best_sum_50.10.4,Source 2
0.5,0.5,1.0228,5.0741,6.0968,best_f1_20.10.1,Source 1
0.6,0.4,1.0228,5.0741,6.0968,best_f1_20.10.1,Source 1
0.7,0.3,1.0228,5.0741,6.0968,best_f1_20.10.1,Source 1
0.8,0.2,1.0228,5.0741,6.0968,best_f1_20.10.1,Source 1
0.9,0.1,0.9699,5.1328,6.1027,best_mean_50.10.3,Source 1
1.0,0.0,0.9699,5.1616,6.1314,best_mean_50.10.3,Source 1
