w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,1.0053,4.1864,5.1917,best_f2_50.10.1,Source 2
0.1,0.9,1.0053,4.1864,5.1917,best_f2_50.10.1,Source 2
0.2,0.8,1.0053,4.1864,5.1917,best_f2_50.10.1,Source 2
0.3,0.7,1.0943,4.5992,5.6935,best_f2_20.20.3,Source 2
0.4,0.6,1.086,4.1312,5.2172,best_f2_50.10.1,Source 2
0.5,0.5,1.0147,4.7173,5.732,best_mean_50.10.1,Source 1
0.6,0.4,1.086,4.5737,5.6597,milestone_50.10.3,Source 2
0.7,0.3,1.086,4.5737,5.6597,milestone_50.10.3,Source 2
0.8,0.2,1.086,4.5737,5.6597,milestone_50.10.3,Source 2
0.9,0.1,1.086,4.5737,5.6597,best_sum_50.10.3,Source 2
1.0,0.0,1.086,4.5737,5.6597,best_sum_50.10.3,Source 2
