w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,13121.28,67039.56,80160.84,best_f1_50.10.2,Source 1
0.1,0.9,13121.28,67039.56,80160.84,best_f1_50.10.2,Source 1
0.2,0.8,12107.88,65293.56,77401.8,best_f1_50.10.2,Source 1
0.3,0.7,12107.88,65293.56,77401.8,best_f1_50.10.2,Source 1
0.4,0.6,12107.88,65293.56,77401.8,best_f1_50.10.2,Source 1
0.5,0.5,12107.88,65293.56,77401.8,best_f1_50.10.2,Source 1
0.6,0.4,12107.88,65293.56,77401.8,best_f1_50.10.2,Source 1
0.7,0.3,12107.88,65293.56,77401.8,best_f1_50.10.2,Source 1
0.8,0.2,12107.88,65293.56,77401.8,best_f1_50.10.2,Source 1
0.9,0.1,12107.88,65293.56,77401.8,best_f1_50.10.2,Source 1
1.0,0.0,12107.88,65293.56,77401.8,best_f1_50.10.2,Source 1
