w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,12456.0,94374.72,106830.72,best_f1_20.20.2,Source 2
0.1,0.9,12376.44,97946.64,110323.08,best_f2_20.20.3,Source 2
0.2,0.8,12376.44,97946.64,110323.08,best_f2_20.20.3,Source 2
0.3,0.7,12557.88,99622.8,112180.32,best_f2_20.20.3,Source 2
0.4,0.6,12981.96,100947.6,113929.92,best_f1_20.10.3,Source 2
0.5,0.5,12981.96,100947.6,113929.92,best_f1_20.10.3,Source 2
0.6,0.4,12981.96,100947.6,113929.92,best_f1_20.10.3,Source 2
0.7,0.3,12496.68,102018.96,114515.64,milestone_20.20.3,Source 2
0.8,0.2,12621.96,101171.88,113793.48,best_sum_50.10.1,Source 2
0.9,0.1,10934.28,93430.08,104364.36,best_f2_50.10.3,Source 2
1.0,0.0,12156.48,99239.4,111395.88,best_f2_50.10.2,Source 2
