w1,w2,F1,F2,F1+F2,Best_CKPT,Source_File
0.0,1.0,3619.08,15071.04,18690.12,best_f2_50.10.1,Source 2
0.1,0.9,3619.08,15071.04,18690.12,best_f2_50.10.1,Source 2
0.2,0.8,3619.08,15071.04,18690.12,best_f2_50.10.1,Source 2
0.3,0.7,3939.48,16557.12,20496.6,best_f2_20.20.3,Source 2
0.4,0.6,3909.6,14872.32,18781.92,best_f2_50.10.1,Source 2
0.5,0.5,3652.92,16982.28,20635.2,best_mean_50.10.1,Source 1
0.6,0.4,3909.6,16465.32,20374.92,milestone_50.10.3,Source 2
0.7,0.3,3909.6,16465.32,20374.92,milestone_50.10.3,Source 2
0.8,0.2,3909.6,16465.32,20374.92,milestone_50.10.3,Source 2
0.9,0.1,3909.6,16465.32,20374.92,best_sum_50.10.3,Source 2
1.0,0.0,3909.6,16465.32,20374.92,best_sum_50.10.3,Source 2
